claim_id,transaction_date,accident_date,reported_date,transaction_type,paid_amount,case_reserve,transaction_number,line_of_business,cumulative_paid
14,2020-10-19 09:02:42.814070351,2020-04-05 09:02:42.814070351,2020-05-25 09:02:42.814070351,Final Payment,4627.473146794574,0.0,2,Auto,4627.473146794574
15,2020-06-26 17:07:32.261306532,2020-04-12 17:07:32.261306532,2020-06-26 17:07:32.261306532,Initial Reserve,0.0,5577.712345989217,1,Auto,0.0
15,2020-11-02 05:07:32.261306532,2020-04-12 17:07:32.261306532,2020-06-26 17:07:32.261306532,Partial Payment,2692.9200098796437,2884.7923361095736,2,Auto,2692.9200098796437
15,2021-03-10 17:07:32.261306532,2020-04-12 17:07:32.261306532,2020-06-26 17:07:32.261306532,Final Payment,2884.7923361095736,0.0,3,Auto,5577.712345989217
16,2020-11-27 01:12:21.708542714,2020-04-20 01:12:21.708542714,2020-11-27 01:12:21.708542714,Initial Reserve,0.0,5533.95655721047,1,Auto,0.0
16,2021-03-03 17:12:21.708542714,2020-04-20 01:12:21.708542714,2020-11-27 01:12:21.708542714,Partial Payment,2736.7794378183276,2797.1771193921427,2,Auto,2736.7794378183276
16,2021-06-08 09:12:21.708542714,2020-04-20 01:12:21.708542714,2020-11-27 01:12:21.708542714,Partial Payment,1296.7211614978442,1500.4559578942985,3,Auto,4033.5005993161717
16,2021-09-13 01:12:21.708542714,2020-04-20 01:12:21.708542714,2020-11-27 01:12:21.708542714,Final Payment,1500.4559578942985,0.0,4,Auto,5533.95655721047
17,2020-05-23 09:17:11.155778894,2020-04-27 09:17:11.155778894,2020-05-23 09:17:11.155778894,Initial Reserve,0.0,5614.971422392061,1,Auto,0.0
17,2020-09-24 09:17:11.155778894,2020-04-27 09:17:11.155778894,2020-05-23 09:17:11.155778894,Final Payment,5614.971422392061,0.0,2,Auto,5614.971422392061
18,2020-05-20 17:22:00.603015074,2020-05-04 17:22:00.603015074,2020-05-20 17:22:00.603015074,Initial Reserve,0.0,3598.28538568715,1,Property,0.0
18,2020-09-04 17:22:00.603015074,2020-05-04 17:22:00.603015074,2020-05-20 17:22:00.603015074,Partial Payment,2110.292294964756,1487.9930907223943,2,Property,2110.292294964756
18,2020-12-20 17:22:00.603015074,2020-05-04 17:22:00.603015074,2020-05-20 17:22:00.603015074,Partial Payment,802.9385495881128,685.0545411342815,3,Property,2913.230844552869
18,2021-04-06 17:22:00.603015074,2020-05-04 17:22:00.603015074,2020-05-20 17:22:00.603015074,Final Payment,685.0545411342815,0.0,4,Property,3598.28538568715
19,2020-05-26 01:26:50.050251256,2020-05-12 01:26:50.050251256,2020-05-26 01:26:50.050251256,Initial Reserve,0.0,5888.996784252011,1,Auto,0.0
19,2020-12-05 01:26:50.050251256,2020-05-12 01:26:50.050251256,2020-05-26 01:26:50.050251256,Partial Payment,2302.246718459654,3586.750065792357,2,Auto,2302.246718459654
19,2021-06-16 01:26:50.050251256,2020-05-12 01:26:50.050251256,2020-05-26 01:26:50.050251256,Partial Payment,1683.7594494001482,1902.9906163922087,3,Auto,3986.006167859802
19,2021-12-26 01:26:50.050251256,2020-05-12 01:26:50.050251256,2020-05-26 01:26:50.050251256,Final Payment,1902.9906163922087,0.0,4,Auto,5888.996784252011
20,2020-06-03 09:31:39.497487436,2020-05-19 09:31:39.497487436,2020-06-03 09:31:39.497487436,Initial Reserve,0.0,7432.317656232774,1,Auto,0.0
20,2021-01-01 21:31:39.497487436,2020-05-19 09:31:39.497487436,2020-06-03 09:31:39.497487436,Partial Payment,4940.566000118613,2491.751656114161,2,Auto,4940.566000118613
20,2021-08-02 09:31:39.497487436,2020-05-19 09:31:39.497487436,2020-06-03 09:31:39.497487436,Final Payment,2491.751656114161,0.0,3,Auto,7432.317656232774
21,2020-06-26 17:36:28.944723618,2020-05-26 17:36:28.944723618,2020-06-26 17:36:28.944723618,Initial Reserve,0.0,8532.150394331898,1,Property,0.0
21,2021-05-18 17:36:28.944723618,2020-05-26 17:36:28.944723618,2020-06-26 17:36:28.944723618,Partial Payment,5037.707814677556,3494.442579654343,2,Property,5037.707814677556
21,2022-04-09 17:36:28.944723618,2020-05-26 17:36:28.944723618,2020-06-26 17:36:28.944723618,Final Payment,3494.442579654343,0.0,3,Property,8532.150394331898
22,2020-07-20 01:41:18.391959798,2020-06-03 01:41:18.391959798,2020-07-20 01:41:18.391959798,Initial Reserve,0.0,9312.102724866574,1,Auto,0.0
22,2020-11-25 09:41:18.391959798,2020-06-03 01:41:18.391959798,2020-07-20 01:41:18.391959798,Partial Payment,6215.830514186726,3096.2722106798483,2,Auto,6215.830514186726
22,2021-04-02 17:41:18.391959798,2020-06-03 01:41:18.391959798,2020-07-20 01:41:18.391959798,Partial Payment,1907.4085056089073,1188.863705070941,3,Auto,8123.239019795633
22,2021-08-09 01:41:18.391959798,2020-06-03 01:41:18.391959798,2020-07-20 01:41:18.391959798,Final Payment,1188.863705070941,0.0,4,Auto,9312.102724866574
23,2020-07-24 09:46:07.839195980,2020-06-10 09:46:07.839195980,2020-07-24 09:46:07.839195980,Initial Reserve,0.0,15618.785221307993,1,Auto,0.0
23,2020-12-06 09:46:07.839195980,2020-06-10 09:46:07.839195980,2020-07-24 09:46:07.839195980,Final Payment,15618.785221307993,0.0,2,Auto,15618.785221307993
24,2020-09-01 17:50:57.286432160,2020-06-17 17:50:57.286432160,2020-09-01 17:50:57.286432160,Initial Reserve,0.0,3450.8867326762424,1,Auto,0.0
24,2021-10-13 17:50:57.286432160,2020-06-17 17:50:57.286432160,2020-09-01 17:50:57.286432160,Final Payment,3450.8867326762424,0.0,2,Auto,3450.8867326762424
25,2020-07-29 01:55:46.733668340,2020-06-25 01:55:46.733668340,2020-07-29 01:55:46.733668340,Initial Reserve,0.0,7371.248062682869,1,Auto,0.0
25,2020-09-25 01:55:46.733668340,2020-06-25 01:55:46.733668340,2020-07-29 01:55:46.733668340,Final Payment,7371.248062682869,0.0,2,Auto,7371.248062682869
26,2020-11-21 10:00:36.180904522,2020-07-02 10:00:36.180904522,2020-11-21 10:00:36.180904522,Initial Reserve,0.0,6322.516282169969,1,Property,0.0
26,2021-06-27 10:00:36.180904522,2020-07-02 10:00:36.180904522,2020-11-21 10:00:36.180904522,Partial Payment,2207.3441517892606,4115.172130380708,2,Property,2207.3441517892606
26,2022-01-31 10:00:36.180904522,2020-07-02 10:00:36.180904522,2020-11-21 10:00:36.180904522,Final Payment,4115.172130380708,0.0,3,Property,6322.516282169969
27,2020-08-03 18:05:25.628140702,2020-07-09 18:05:25.628140702,2020-08-03 18:05:25.628140702,Initial Reserve,0.0,17538.556764794008,1,Auto,0.0
27,2022-05-16 18:05:25.628140702,2020-07-09 18:05:25.628140702,2020-08-03 18:05:25.628140702,Final Payment,17538.556764794008,0.0,2,Auto,17538.556764794008
28,2021-12-02 02:10:15.075376884,2020-07-17 02:10:15.075376884,2021-12-02 02:10:15.075376884,Initial Reserve,0.0,3723.7299621132183,1,Property,0.0
28,2021-12-17 02:10:15.075376884,2020-07-17 02:10:15.075376884,2021-12-02 02:10:15.075376884,Partial Payment,2412.8226475715796,1310.9073145416387,2,Property,2412.8226475715796
28,2022-01-01 02:10:15.075376884,2020-07-17 02:10:15.075376884,2021-12-02 02:10:15.075376884,Final Payment,1310.9073145416387,0.0,3,Property,3723.7299621132183
29,2020-09-24 10:15:04.522613064,2020-07-24 10:15:04.522613064,2020-09-24 10:15:04.522613064,Initial Reserve,0.0,2877.510035533757,1,Property,0.0
29,2021-05-12 10:15:04.522613064,2020-07-24 10:15:04.522613064,2020-09-24 10:15:04.522613064,Partial Payment,1299.8353921159498,1577.6746434178074,2,Property,1299.8353921159498
29,2021-12-28 10:15:04.522613064,2020-07-24 10:15:04.522613064,2020-09-24 10:15:04.522613064,Partial Payment,942.9759146596174,634.69872875819,3,Property,2242.811306775567
29,2022-08-15 10:15:04.522613064,2020-07-24 10:15:04.522613064,2020-09-24 10:15:04.522613064,Final Payment,634.69872875819,0.0,4,Property,2877.510035533757
30,2020-08-14 18:19:53.969849244,2020-07-31 18:19:53.969849244,2020-08-14 18:19:53.969849244,Initial Reserve,0.0,4083.2641724003497,1,Auto,0.0
30,2020-10-26 18:19:53.969849244,2020-07-31 18:19:53.969849244,2020-08-14 18:19:53.969849244,Partial Payment,2211.0410519682396,1872.2231204321101,2,Auto,2211.0410519682396
30,2021-01-07 18:19:53.969849244,2020-07-31 18:19:53.969849244,2020-08-14 18:19:53.969849244,Final Payment,1872.2231204321101,0.0,3,Auto,4083.2641724003497
31,2020-08-19 02:24:43.417085428,2020-08-08 02:24:43.417085428,2020-08-19 02:24:43.417085428,Initial Reserve,0.0,1630.2175218544771,1,Property,0.0
31,2021-02-23 18:24:43.417085428,2020-08-08 02:24:43.417085428,2020-08-19 02:24:43.417085428,Partial Payment,1052.1542178629193,578.0633039915579,2,Property,1052.1542178629193
31,2021-08-31 10:24:43.417085428,2020-08-08 02:24:43.417085428,2020-08-19 02:24:43.417085428,Partial Payment,386.83076761596584,191.23253637559202,3,Property,1438.9849854788852
31,2022-03-08 02:24:43.417085428,2020-08-08 02:24:43.417085428,2020-08-19 02:24:43.417085428,Final Payment,191.23253637559202,0.0,4,Property,1630.2175218544771
32,2020-10-08 10:29:32.864321608,2020-08-15 10:29:32.864321608,2020-10-08 10:29:32.864321608,Initial Reserve,0.0,3547.3258865380726,1,Auto,0.0
32,2021-03-06 10:29:32.864321608,2020-08-15 10:29:32.864321608,2020-10-08 10:29:32.864321608,Partial Payment,2367.421054517577,1179.9048320204956,2,Auto,2367.421054517577
32,2021-08-02 10:29:32.864321608,2020-08-15 10:29:32.864321608,2020-10-08 10:29:32.864321608,Partial Payment,631.0453033599196,548.8595286605761,3,Auto,2998.4663578774966
32,2021-12-29 10:29:32.864321608,2020-08-15 10:29:32.864321608,2020-10-08 10:29:32.864321608,Final Payment,548.8595286605761,0.0,4,Auto,3547.3258865380726
33,2020-09-17 18:34:22.311557788,2020-08-22 18:34:22.311557788,2020-09-17 18:34:22.311557788,Initial Reserve,0.0,3298.5115296823437,1,Auto,0.0
33,2020-11-26 02:34:22.311557788,2020-08-22 18:34:22.311557788,2020-09-17 18:34:22.311557788,Partial Payment,1317.064572267303,1981.4469574150407,2,Auto,1317.064572267303
33,2021-02-03 10:34:22.311557788,2020-08-22 18:34:22.311557788,2020-09-17 18:34:22.311557788,Partial Payment,1052.2529184006723,929.1940390143684,3,Auto,2369.317490667975
33,2021-04-13 18:34:22.311557788,2020-08-22 18:34:22.311557788,2020-09-17 18:34:22.311557788,Final Payment,929.1940390143684,0.0,4,Auto,3298.5115296823437
34,2020-11-06 02:39:11.758793968,2020-08-30 02:39:11.758793968,2020-11-06 02:39:11.758793968,Initial Reserve,0.0,4310.676711876403,1,Liability,0.0
34,2021-02-09 02:39:11.758793968,2020-08-30 02:39:11.758793968,2020-11-06 02:39:11.758793968,Partial Payment,1918.0681901421835,2392.6085217342193,2,Liability,1918.0681901421835
34,2021-05-15 02:39:11.758793968,2020-08-30 02:39:11.758793968,2020-11-06 02:39:11.758793968,Final Payment,2392.6085217342193,0.0,3,Liability,4310.676711876403
35,2020-10-29 10:44:01.206030148,2020-09-06 10:44:01.206030148,2020-10-29 10:44:01.206030148,Initial Reserve,0.0,5311.898128190615,1,Liability,0.0
35,2021-06-18 02:44:01.206030148,2020-09-06 10:44:01.206030148,2020-10-29 10:44:01.206030148,Partial Payment,1621.3920062336817,3690.5061219569334,2,Liability,1621.3920062336817
35,2022-02-04 18:44:01.206030148,2020-09-06 10:44:01.206030148,2020-10-29 10:44:01.206030148,Partial Payment,2086.667330017034,1603.8387919398992,3,Liability,3708.059336250716
35,2022-09-24 10:44:01.206030148,2020-09-06 10:44:01.206030148,2020-10-29 10:44:01.206030148,Final Payment,1603.8387919398992,0.0,4,Liability,5311.898128190615
36,2020-10-14 18:48:50.653266332,2020-09-13 18:48:50.653266332,2020-10-14 18:48:50.653266332,Initial Reserve,0.0,14946.322561153424,1,Liability,0.0
36,2021-02-21 18:48:50.653266332,2020-09-13 18:48:50.653266332,2020-10-14 18:48:50.653266332,Partial Payment,5372.681201073611,9573.641360079811,2,Liability,5372.681201073611
36,2021-07-01 18:48:50.653266332,2020-09-13 18:48:50.653266332,2020-10-14 18:48:50.653266332,Partial Payment,4459.877471943897,5113.763888135914,3,Liability,9832.55867301751
36,2021-11-08 18:48:50.653266332,2020-09-13 18:48:50.653266332,2020-10-14 18:48:50.653266332,Final Payment,5113.763888135914,0.0,4,Liability,14946.322561153422
37,2020-10-05 02:53:40.100502512,2020-09-21 02:53:40.100502512,2020-10-05 02:53:40.100502512,Initial Reserve,0.0,9475.744771929656,1,Auto,0.0
37,2021-04-19 18:53:40.100502512,2020-09-21 02:53:40.100502512,2020-10-05 02:53:40.100502512,Partial Payment,3978.281189423974,5497.463582505682,2,Auto,3978.281189423974
37,2021-11-02 10:53:40.100502512,2020-09-21 02:53:40.100502512,2020-10-05 02:53:40.100502512,Partial Payment,2330.7858607658795,3166.6777217398026,3,Auto,6309.067050189853
37,2022-05-18 02:53:40.100502512,2020-09-21 02:53:40.100502512,2020-10-05 02:53:40.100502512,Final Payment,3166.6777217398026,0.0,4,Auto,9475.744771929656
38,2020-10-05 10:58:29.547738692,2020-09-28 10:58:29.547738692,2020-10-05 10:58:29.547738692,Initial Reserve,0.0,4051.5057611972265,1,Auto,0.0
38,2021-03-27 22:58:29.547738692,2020-09-28 10:58:29.547738692,2020-10-05 10:58:29.547738692,Partial Payment,1547.90150246428,2503.6042587329466,2,Auto,1547.90150246428
38,2021-09-17 10:58:29.547738692,2020-09-28 10:58:29.547738692,2020-10-05 10:58:29.547738692,Final Payment,2503.6042587329466,0.0,3,Auto,4051.5057611972265
39,2020-10-26 19:03:18.994974872,2020-10-05 19:03:18.994974872,2020-10-26 19:03:18.994974872,Initial Reserve,0.0,3293.06387546739,1,Property,0.0
39,2022-03-16 19:03:18.994974872,2020-10-05 19:03:18.994974872,2020-10-26 19:03:18.994974872,Final Payment,3293.06387546739,0.0,2,Property,3293.06387546739
40,2020-12-30 03:08:08.442211056,2020-10-13 03:08:08.442211056,2020-12-30 03:08:08.442211056,Initial Reserve,0.0,7131.3962508390005,1,Auto,0.0
40,2021-01-23 03:08:08.442211056,2020-10-13 03:08:08.442211056,2020-12-30 03:08:08.442211056,Partial Payment,2326.8566131985335,4804.539637640467,2,Auto,2326.8566131985335
40,2021-02-16 03:08:08.442211056,2020-10-13 03:08:08.442211056,2020-12-30 03:08:08.442211056,Final Payment,4804.539637640467,0.0,3,Auto,7131.3962508390005
41,2020-11-30 11:12:57.889447236,2020-10-20 11:12:57.889447236,2020-11-30 11:12:57.889447236,Initial Reserve,0.0,2757.386440855273,1,Auto,0.0
41,2021-03-21 23:12:57.889447236,2020-10-20 11:12:57.889447236,2020-11-30 11:12:57.889447236,Partial Payment,1416.696503371763,1340.6899374835102,2,Auto,1416.696503371763
41,2021-07-11 11:12:57.889447236,2020-10-20 11:12:57.889447236,2020-11-30 11:12:57.889447236,Final Payment,1340.6899374835102,0.0,3,Auto,2757.386440855273
42,2020-11-06 19:17:47.336683416,2020-10-27 19:17:47.336683416,2020-11-06 19:17:47.336683416,Initial Reserve,0.0,11792.576964176333,1,Auto,0.0
42,2022-10-14 19:17:47.336683416,2020-10-27 19:17:47.336683416,2020-11-06 19:17:47.336683416,Final Payment,11792.576964176333,0.0,2,Auto,11792.576964176333
43,2020-12-13 03:22:36.783919596,2020-11-04 03:22:36.783919596,2020-12-13 03:22:36.783919596,Initial Reserve,0.0,7641.361187142424,1,Auto,0.0
43,2021-03-20 19:22:36.783919596,2020-11-04 03:22:36.783919596,2020-12-13 03:22:36.783919596,Partial Payment,4926.4944345627755,2714.866752579648,2,Auto,4926.4944345627755
43,2021-06-26 11:22:36.783919596,2020-11-04 03:22:36.783919596,2020-12-13 03:22:36.783919596,Partial Payment,1841.8909906731458,872.9757619065024,3,Auto,6768.3854252359215
43,2021-10-02 03:22:36.783919596,2020-11-04 03:22:36.783919596,2020-12-13 03:22:36.783919596,Final Payment,872.9757619065024,0.0,4,Auto,7641.361187142424
44,2020-12-30 11:27:26.231155776,2020-11-11 11:27:26.231155776,2020-12-30 11:27:26.231155776,Initial Reserve,0.0,3530.6173986544454,1,Liability,0.0
44,2021-04-04 23:27:26.231155776,2020-11-11 11:27:26.231155776,2020-12-30 11:27:26.231155776,Partial Payment,1636.4188099577505,1894.198588696695,2,Liability,1636.4188099577505
44,2021-07-09 11:27:26.231155776,2020-11-11 11:27:26.231155776,2020-12-30 11:27:26.231155776,Final Payment,1894.198588696695,0.0,3,Liability,3530.6173986544454
45,2020-12-02 19:32:15.678391960,2020-11-18 19:32:15.678391960,2020-12-02 19:32:15.678391960,Initial Reserve,0.0,2486.69280519478,1,Auto,0.0
45,2021-02-09 19:32:15.678391960,2020-11-18 19:32:15.678391960,2020-12-02 19:32:15.678391960,Partial Payment,1608.3866996262038,878.306105568576,2,Auto,1608.3866996262038
45,2021-04-19 19:32:15.678391960,2020-11-18 19:32:15.678391960,2020-12-02 19:32:15.678391960,Partial Payment,406.8259409730758,471.4801645955002,3,Auto,2015.2126405992797
45,2021-06-27 19:32:15.678391960,2020-11-18 19:32:15.678391960,2020-12-02 19:32:15.678391960,Final Payment,471.4801645955002,0.0,4,Auto,2486.69280519478
46,2021-01-04 03:37:05.125628140,2020-11-26 03:37:05.125628140,2021-01-04 03:37:05.125628140,Initial Reserve,0.0,8595.903729876512,1,Property,0.0
46,2022-04-21 03:37:05.125628140,2020-11-26 03:37:05.125628140,2021-01-04 03:37:05.125628140,Final Payment,8595.903729876512,0.0,2,Property,8595.903729876512
47,2021-01-07 11:41:54.572864320,2020-12-03 11:41:54.572864320,2021-01-07 11:41:54.572864320,Initial Reserve,0.0,3749.560297972373,1,Auto,0.0
47,2021-02-04 03:41:54.572864320,2020-12-03 11:41:54.572864320,2021-01-07 11:41:54.572864320,Partial Payment,1633.715286934104,2115.845011038269,2,Auto,1633.715286934104
47,2021-03-03 19:41:54.572864320,2020-12-03 11:41:54.572864320,2021-01-07 11:41:54.572864320,Partial Payment,1116.6951937626743,999.1498172755948,3,Auto,2750.410480696778
47,2021-03-31 11:41:54.572864320,2020-12-03 11:41:54.572864320,2021-01-07 11:41:54.572864320,Final Payment,999.1498172755948,0.0,4,Auto,3749.560297972373
48,2020-12-21 19:46:44.020100500,2020-12-10 19:46:44.020100500,2020-12-21 19:46:44.020100500,Initial Reserve,0.0,9683.828444744404,1,Property,0.0
48,2021-03-29 11:46:44.020100500,2020-12-10 19:46:44.020100500,2020-12-21 19:46:44.020100500,Partial Payment,3290.3378885385,6393.490556205904,2,Property,3290.3378885385
48,2021-07-05 03:46:44.020100500,2020-12-10 19:46:44.020100500,2020-12-21 19:46:44.020100500,Partial Payment,2539.934809536534,3853.55574666937,3,Property,5830.272698075034
48,2021-10-10 19:46:44.020100500,2020-12-10 19:46:44.020100500,2020-12-21 19:46:44.020100500,Final Payment,3853.55574666937,0.0,4,Property,9683.828444744404
49,2021-02-03 03:51:33.467336680,2020-12-18 03:51:33.467336680,2021-02-03 03:51:33.467336680,Initial Reserve,0.0,2305.922671637977,1,Property,0.0
49,2021-10-21 03:51:33.467336680,2020-12-18 03:51:33.467336680,2021-02-03 03:51:33.467336680,Partial Payment,1579.694756888407,726.2279147495701,2,Property,1579.694756888407
49,2022-07-08 03:51:33.467336680,2020-12-18 03:51:33.467336680,2021-02-03 03:51:33.467336680,Final Payment,726.2279147495701,0.0,3,Property,2305.922671637977
50,2021-02-21 11:56:22.914572864,2020-12-25 11:56:22.914572864,2021-02-21 11:56:22.914572864,Initial Reserve,0.0,3119.2051162459293,1,Auto,0.0
50,2021-03-29 11:56:22.914572864,2020-12-25 11:56:22.914572864,2021-02-21 11:56:22.914572864,Final Payment,3119.2051162459293,0.0,2,Auto,3119.2051162459293
51,2021-04-09 20:01:12.361809044,2021-01-01 20:01:12.361809044,2021-04-09 20:01:12.361809044,Initial Reserve,0.0,4110.679128894255,1,Liability,0.0
51,2021-07-08 20:01:12.361809044,2021-01-01 20:01:12.361809044,2021-04-09 20:01:12.361809044,Partial Payment,2627.756722934097,1482.922405960158,2,Liability,2627.756722934097
51,2021-10-06 20:01:12.361809044,2021-01-01 20:01:12.361809044,2021-04-09 20:01:12.361809044,Final Payment,1482.922405960158,0.0,3,Liability,4110.679128894255
52,2021-04-14 04:06:01.809045224,2021-01-09 04:06:01.809045224,2021-04-14 04:06:01.809045224,Initial Reserve,0.0,5789.223393317045,1,Property,0.0
