Question Number,Question,Choice A,Choice B,Choice C,Choice D,Choice E
136,"The minimum force required to break a particular type of cable is normally distributed 
with mean 12,432 and standard deviation 25.  A random sample of 400 cables of this type 
is selected. 
 
Calculate the probability that at least 349 of the selected cables will not break under a 
force of 12,400.",0.62,0.67,0.92,0.97,1.00
137,"The number of policies that an agent sells has a Poisson distribution with modes at 2 and 
3. 
 
K is the smallest number such that the probability of selling more than K policies is less 
than 25%.   
 
Calculate K.",1,2,3,4,5
138,"Two fair dice are tossed.  One die is red and one die is green. 
 
Calculate the probability that the sum of the numbers on the two dice is an odd number 
given that the number that shows on the red die is larger than the number that shows on 
the green die.",1/4,5/12,3/7,1/2,3/5
139,"In 1982 Abby’s mother scored at the 93rd percentile in the math SAT exam.  In 1982 the 
mean score was 503 and the variance of the scores was 9604. 
 
In 2008 Abby took the math SAT and got the same numerical score as her mother had 
received 26 years before.  In 2008 the mean score was 521 and the variance of the scores 
was 10,201. 
 
Math SAT scores are normally distributed and stated in multiples of ten.   
 
Calculate the percentile for Abby’s score.",89th,90th,91st,92nd,93rd
140,"A certain brand of refrigerator has a useful life that is normally distributed with mean 10 
years and standard deviation 3 years.  The useful lives of these refrigerators are 
independent. 
 
Calculate the probability that the total useful life of two randomly selected refrigerators 
will exceed 1.9 times the useful life of a third randomly selected refrigerator.",0.407,0.444,0.556,0.593,0.604
141,"Losses covered by a flood insurance policy are uniformly distributed on the interval  
[0, 2].  The insurer pays the amount of the loss in excess of a deductible d. 
 
The probability that the insurer pays at least 1.20 on a random loss is 0.30. 
 
Calculate the probability that the insurer pays at least 1.44 on a random loss.",0.06,0.16,0.18,0.20,0.28
142,"The lifespan, in years, of a certain computer is exponentially distributed.  The probability 
that its lifespan exceeds four years is 0.30. 
 
Let f(x) represent the density function of the computer’s lifespan, in years, for x > 0. 
 
Determine which of the following is an expression for f(x).","/4
1","/4
1","/4
1","/4
ln","/4
ln"
143,"The lifetime of a light bulb has density function, f, where f(x) is proportional to 
 
2
3 ,
0
5
1
x
x
x
<
<
+
, and 0, otherwise. 
 
Calculate the mode of this distribution.",0.00,0.79,1.26,4.42,5.00
144,"An insurer’s medical reimbursements have density function f, where f(x) is proportional 
to 
2x
xe−
, for 0 < x < 1, and 0, otherwise. 
 
Calculate the mode of the medical reimbursements.",0.00,0.50,0.71,0.84,1.00
145,"A company has five employees on its health insurance plan.  Each year, each employee 
independently has an 80% probability of no hospital admissions.  If an employee requires 
one or more hospital admissions, the number of admissions is modeled by a geometric 
distribution with a mean of 1.50.  The numbers of hospital admissions of different 
employees are mutually independent. 
 
Each hospital admission costs 20,000. 
 
Calculate the probability that the company’s total hospital costs in a year are less than 
50,000.",0.41,0.46,0.58,0.69,0.78
146,"On any given day, a certain machine has either no malfunctions or exactly one 
malfunction.  The probability of malfunction on any given day is 0.40.  Machine 
malfunctions on different days are mutually independent. 
 
Calculate the probability that the machine has its third malfunction on the fifth day, given 
that the machine has not had three malfunctions in the first three days.",0.064,0.138,0.148,0.48,0.65
148,"A car is new at the beginning of a calendar year.  The time, in years, before the car 
experiences its first failure is exponentially distributed with mean 2. 
 
Calculate the probability that the car experiences its first failure in the last quarter of 
some calendar year.",0.081,0.088,0.102,0.205,0.250
149,"In a shipment of 20 packages, 7 packages are damaged.  The packages are randomly 
inspected, one at a time, without replacement, until the fourth damaged package is 
discovered. 
 
Calculate the probability that exactly 12 packages are inspected.",0.079,0.119,0.237,0.243,0.358
150,"A theme park conducts a study of families that visit the park during a year.  The fraction 
of such families of size m is 8
28
m
−
, m = 1, 2, 3, 4, 5, 6, and 7. 
 
For a family of size m that visits the park, the number of members of the family that ride 
the roller coaster follows a discrete uniform distribution on the set {1, … , m}. 
 
Calculate the probability that a family visiting the park has exactly six members, given 
that exactly five members of the family ride the roller coaster.",0.17,0.21,0.24,0.28,0.31
151,"The following information is given about a group of high-risk borrowers. 
 
i) 
Of all these borrowers, 30% defaulted on at least one student loan. 
ii) 
Of the borrowers who defaulted on at least one car loan, 40% defaulted on at least 
one student loan. 
iii) 
Of the borrowers who did not default on any student loans, 28% defaulted  on at 
least one car loan. 
 
A statistician randomly selects a borrower from this group and observes that the selected 
borrower defaulted on at least one student loan. 
 
Calculate the probability that the selected borrower defaulted on at least one car loan.",0.33,0.40,0.44,0.65,0.72
152,"An insurance company issues policies covering damage to automobiles.  The amount of 
damage is modeled by a uniform distribution on [0, b]. 
 
The policy payout is subject to a deductible of b/10. 
 
A policyholder experiences automobile damage. 
 
Calculate the ratio of the standard deviation of the policy payout to the standard deviation 
of the amount of the damage.",0.8100,0.9000,0.9477,0.9487,0.9735
153,"A policyholder purchases automobile insurance for two years.  Define the following 
events: 
 
 
F = the policyholder has exactly one accident in year one. 
 
G = the policyholder has one or more accidents in year two. 
 
Define the following events: 
 
i) 
The policyholder has exactly one accident in year one and has more than one 
accident in year two. 
ii) 
The policyholder has at least two accidents during the two-year period. 
iii) 
The policyholder has exactly one accident in year one and has at least one 
accident in year two. 
iv) 
The policyholder has exactly one accident in year one and has a total of two or 
more accidents in the two-year period. 
v) 
The policyholder has exactly one accident in year one and has more accidents in 
year two than in year one. 
 
Determine the number of events from the above list of five that are the same as F
G
∩
.",None,Exactly,Exactly,Exactly,All
154,"An insurance company categorizes its policyholders into three mutually exclusive groups: 
high-risk, medium-risk, and low-risk.  An internal study of the company showed that 
45% of the policyholders are low-risk and 35% are medium-risk.  The probability of 
death over the next year, given that a policyholder is high-risk is two times the 
probability of death of a medium-risk policyholder.  The probability of death over the 
next year, given that a policyholder is medium-risk is three times the probability of death 
of a low-risk policyholder.  The probability of death of a randomly selected policyholder, 
over the next year, is 0.009. 
 
Calculate the probability of death of a policyholder over the next year, given that the 
policyholder is high-risk.",0.0025,0.0200,0.1215,0.2000,0.3750
155,"A policy covers a gas furnace for one year.  During that year, only one of three problems 
can occur: 
 
i) 
The igniter switch may need to be replaced at a cost of 60.  There is a 0.10 
probability of this. 
ii) 
The pilot light may need to be replaced at a cost of 200.  There is a 0.05 
probability of this. 
iii) 
The furnace may need to be replaced at a cost of 3000.  There is a 0.01 probability 
of this.  
 
Calculate the deductible that would produce an expected claim payment of 30.",100,At,At,At,At
156,"On a block of ten houses, k are not insured.  A tornado randomly damages three houses 
on the block. 
 
The probability that none of the damaged houses are insured is 1/120. 
 
Calculate the probability that at most one of the damaged houses is insured.",1/5,7/40,11/60,49/60,119/120
157,"In a casino game, a gambler selects four different numbers from the first twelve positive 
integers.  The casino then randomly draws nine numbers without replacement from the 
first twelve positive integers.  The gambler wins the jackpot if the casino draws all four 
of the gambler’s selected numbers.  
 
Calculate the probability that the gambler wins the jackpot.",0.002,0.255,0.296,0.573,0.625
158,"The number of days an employee is sick each month is modeled by a Poisson distribution 
with mean 1.  The numbers of sick days in different months are mutually independent. 
 
Calculate the probability that an employee is sick more than two days in a three-month 
period.",0.199,0.224,0.423,0.577,0.801
159,"The number of traffic accidents per week at intersection Q has a Poisson distribution with 
mean 3.  The number of traffic accidents per week at intersection R has a Poisson 
distribution with mean 1.5. 
 
Let A be the probability that the number of accidents at intersection Q exceeds its mean.   
Let B be the corresponding probability for intersection R. 
 
Calculate B – A.",0.00,0.09,0.13,0.19,0.31
160,"Losses due to accidents at an amusement park are exponentially distributed.  An 
insurance company offers the park owner two different policies, with different premiums, 
to insure against losses due to accidents at the park. 
 
Policy A has a deductible of 1.44.  For a random loss, the probability is 0.640 that under 
this policy, the insurer will pay some money to the park owner.  Policy B has a deductible 
of d.  For a random loss, the probability is 0.512 that under this policy, the insurer will 
pay some money to the park owner. 
 
Calculate d.",0.960,1.152,1.728,1.800,2.160
161,"The distribution of the size of claims paid under an insurance policy has probability 
density function 
 
,
0
5
( )
0,
otherwise,
a
cx
x
f x

<
<

= 

 
 
Where a >0 and c > 0. 
 
For a randomly selected claim, the probability that the size of the claim is less than 3.75 
is 0.4871. 
 
Calculate the probability that the size of a randomly selected claim is greater than 4.",0.404,0.428,0.500,0.572,0.596
162,"Company XYZ provides a warranty on a product that it produces.  Each year, the number 
of warranty claims follows a Poisson distribution with mean c.  The probability that no 
warranty claims are received in any given year is 0.60. 
 
Company XYZ purchases an insurance policy that will reduce its overall warranty claim 
payment costs.  The insurance policy will pay nothing for the first warranty claim 
received and 5000 for each claim thereafter until the end of the year. 
 
Calculate the expected amount of annual insurance policy payments to Company XYZ.",554,872,1022,1354,1612
163,"For a certain health insurance policy, losses are uniformly distributed on the interval 
[0, b].  The policy has a deductible of 180 and the expected value of the unreimbursed 
portion of a loss is 144. 
 
Calculate b.",236,288,388,450,468
164,"The working lifetime, in years, of a particular model of bread maker is normally 
distributed with mean 10 and variance 4. 
 
Calculate the 12th percentile of the working lifetime, in years.",5.30,7.65,8.41,12.35,14.70
165,"The profits of life insurance companies A and B are normally distributed with the same 
mean.  The variance of company B's profit is 2.25 times the variance of company A's 
profit.  The 14th percentile of company A’s profit is the same as the pth percentile of 
company B’s profit. 
 
Calculate p.",5.3,9.3,21.0,23.6,31.6
166,"The distribution of values of the retirement package offered by a company to new 
employees is modeled by the probability density function  
 
1(
5)
5
1  
,
5
( )
5
0,
otherwise.
x
e
x
f x
−
−

>

= 

  
 
Calculate the variance of the retirement package value for a new employee, given that the 
value is at least 10.",15,20,25,30,35
167,"Insurance companies A and B each earn an annual profit that is normally distributed with 
the same positive mean.  The standard deviation of company A’s annual profit is one half 
of its mean.  
 
In a given year, the probability that company B has a loss (negative profit) is 0.9 times 
the probability that company A has a loss. 
 
Calculate the ratio of the standard deviation of company B’s annual profit to the standard 
deviation of company A’s annual profit.",0.49,0.90,0.98,1.11,1.71
168,"Claim amounts at an insurance company are independent of one another.  In year one, 
claim amounts are modeled by a normal random variable X with mean 100 and standard 
deviation 25.  In year two, claim amounts are modeled by the random variable 
Y = 1.04X + 5. 
 
Calculate the probability that a random sample of 25 claim amounts in year two average 
between 100 and 110.",0.48,0.53,0.54,0.67,0.68
169,"An insurance company will cover losses incurred from tornadoes in a single calendar 
year.  However, the insurer will only cover losses for a maximum of three separate 
tornadoes during this timeframe.  Let X be the number of tornadoes that result in at least 
50 million in losses, and let Y be the total number of tornadoes.  The joint probability 
function for X and Y is 
 
(
2 ),
for 
0,1,2,3,
0,1,2,3,
( , )
0,
otherwise,
c x
y
x
y
x
y
p x y
+
=
=
≤

= 

 
 
where c is a constant. 
 
Calculate the expected number of tornadoes that result in fewer than 50 million in losses.",0.19,0.28,0.76,1.00,1.10
170,"At a polling booth, ballots are cast by ten voters, of whom three are Republicans, two are 
Democrats, and five are Independents.  A local journalist interviews two of these voters, 
chosen randomly.  
 
Calculate the expectation of the absolute value of the difference between the number of 
Republicans interviewed and the number of Democrats interviewed.",1/5,7/15,3/5,11/15,1
171,"The random variables X and Y have joint probability function p(x,y) for x = 0,1 and 
y = 0,1,2. 
 
Suppose 3p(1,1) = p(1,2), and p(1,1) maximizes the variance of XY. 
 
Calculate the probability that X or Y is 0.",11/25,23/50,23/49,26/49,14/25
172,"The number of severe storms that strike city J in a year follows a binomial distribution 
with n = 5 and p = 0.6.  Given that m severe storms strike city J in a year, the number of 
severe storms that strike city K in the same year is m with probability 1/2, 
1
m +  with 
probability 1/3, and 
2
m +
 with probability 1/6. 
 
Calculate the expected number of severe storms that strike city J in a year during which 5 
severe storms strike city K.",3.5,3.7,3.9,4.0,5.7
173,"Let N denote the number of accidents occurring during one month on the northbound side 
of a highway and let S denote the number occurring on the southbound side.  
 
Suppose that N and S are jointly distributed as indicated in the table. 
 
N \ S 
0 
1 
2 
3 or more 
0 
0.04 
0.06 
0.10 
0.04 
1 
0.10 
0.18 
0.08 
0.03 
2 
0.12 
0.06 
0.05 
0.02 
3 or more 
0.05 
0.04 
0.02 
0.01 
 
Calculate Var (N | N + S = 2).",0.48,0.55,0.67,0.91,1.25
174,"An insurance company has an equal number of claims in each of three territories.  In each 
territory, only three claim amounts are possible: 100, 500, and 1000.  Based on the 
company’s data, the probabilities of each claim amount are:  
  
 
Claim Amount 
 
100 
500 
1000 
Territory 1 
0.90 
0.08 
0.02 
Territory 2 
0.80 
0.11 
0.09 
Territory 3 
0.70 
0.20 
0.10 
 
Calculate the standard deviation of a randomly selected claim amount.",254,291,332,368,396
175,"At the start of a week, a coal mine has a high-capacity storage bin that is half full.  
During the week, 20 loads of coal are added to the storage bin.  Each load of coal has a 
volume that is normally distributed with mean 1.50 cubic yards and standard deviation  
0.25 cubic yards.   
 
During the same week, coal is removed from the storage bin and loaded into 4 railroad 
cars.  The amount of coal loaded into each railroad car is normally distributed with mean 
7.25 cubic yards and standard deviation 0.50 cubic yards. 
 
The amounts added to the storage bin or removed from the storage bin are mutually 
independent.     
 
Calculate the probability that the storage bin contains more coal at the end of the week 
than it had at the beginning of the week.",0.56,0.63,0.67,0.75,0.98
176,"An insurance company insures a good driver and a bad driver on the same policy. The 
table below gives the probability of a given number of claims occurring for each of these 
drivers in the next ten years. 
 
Number 
of claims 
Probability for 
the good driver 
Probability for 
the bad driver 
0 
0.5 
0.2 
1 
0.3 
0.3 
2 
0.2 
0.4 
3 
0.0 
0.1 
 
The number of claims occurring for the two drivers are independent. 
 
Calculate the mode of the distribution of the total number of claims occurring on this 
policy in the next ten years.",0,1,2,3,4
177,"In a group of 15 health insurance policyholders diagnosed with cancer, each policyholder 
has probability 0.90 of receiving radiation and probability 0.40 of receiving 
chemotherapy.  Radiation and chemotherapy treatments are independent events for each 
policyholder, and the treatments of different policyholders are mutually independent. 
 
The policyholders in this group all have the same health insurance that pays 2 for 
radiation treatment and 3 for chemotherapy treatment. 
 
Calculate the variance of the total amount the insurance company pays for the radiation 
and chemotherapy treatments for these 15 policyholders.",13.5,37.8,108.0,202.5,567.0
178,"In a large population of patients, 20% have early stage cancer, 10% have advanced stage 
cancer, and the other 70% do not have cancer.  Six patients from this population are 
randomly selected. 
 
Calculate the expected number of selected patients with advanced stage cancer, given that 
at least one of the selected patients has early stage cancer.",0.403,0.500,0.547,0.600,0.625
179,"Four distinct integers are chosen randomly and without replacement from the first twelve 
positive integers.  Let X be the random variable representing the second largest of the 
four selected integers, and let p be the probability function for X.   
 
Determine p(x), for integer values of x, where p(x) > 0.","(
1)(
2)(12
)
990
x
x
x
−
−
−","(
1)(
2)(12
)
495
x
x
x
−
−
−","(
1)(12
)(11
)
495
x
x
x
−
−
−","(
1)(12
)(11
)
990
x
x
x
−
−
−","(10
)(12
)(11
)
990
x
x
x
−
−
−
"
180,"An insurance policy covers losses incurred by a policyholder, subject to a deductible of 
10,000.  Incurred losses follow a normal distribution with mean 12,000 and standard 
deviation c.  The probability that a loss is less than k is 0.9582, where k is a constant.  
Given that the loss exceeds the deductible, there is a probability of 0.9500 that it is less 
than k.  
 
Calculate c.",2045,2267,2393,2505,2840
181,"Losses covered by an insurance policy are modeled by a uniform distribution on the 
interval [0, 1000].  An insurance company reimburses losses in excess of a deductible of 
250. 
 
Calculate the difference between the median and the 20th percentile of the insurance 
company reimbursement, over all losses.",225,250,300,375,500
182,"An insurance agent’s files reveal the following facts about his policyholders: 
 
i) 
243 own auto insurance. 
ii) 
207 own homeowner insurance. 
iii) 
55 own life insurance and homeowner insurance. 
iv) 
96 own auto insurance and homeowner insurance. 
v) 
32 own life insurance, auto insurance and homeowner insurance. 
vi) 
76 more clients own only auto insurance than only life insurance. 
vii) 
270 own only one of these three insurance products. 
 
Calculate the total number of the agent’s policyholders who own at least one of these 
three insurance products.",389,407,423,448,483
183,"A profile of the investments owned by an agent’s clients follows: 
 
i) 
228 own annuities. 
ii) 
220 own mutual funds. 
iii) 
98 own life insurance and mutual funds. 
iv) 
93 own annuities and mutual funds. 
v) 
16 own annuities, mutual funds, and life insurance. 
vi) 
45 more clients own only life insurance than own only annuities. 
vii) 
290 own only one type of investment (i.e., annuity, mutual fund, or life 
insurance). 
 
Calculate the agent’s total number of clients.",455,495,496,500,516
184,"An actuary compiles the following information from a portfolio of 1000 homeowners 
insurance policies: 
 
 i) 
130 policies insure three-bedroom homes. 
ii) 
280 policies insure one-story homes. 
iii) 
150 policies insure two-bath homes. 
iv) 
30 policies insure three-bedroom, two-bath homes. 
 v) 
50 policies insure one-story, two-bath homes. 
vi) 
40 policies insure three-bedroom, one-story homes. 
vii) 
10 policies insure three-bedroom, one-story, two-bath homes. 
 
Calculate the number of homeowners policies in the portfolio that insure neither one-
story nor two-bath nor three-bedroom homes.",310,450,530,550,570
185,"Each week, a subcommittee of four individuals is formed from among the members of a 
committee comprising seven individuals.  Two subcommittee members are then assigned 
to lead the subcommittee, one as chair and the other as secretary. 
 
Calculate the maximum number of consecutive weeks that can elapse without having the 
subcommittee contain four individuals who have previously served together with the 
same subcommittee chair.",70,140,210,420,840
186,"Bowl I contains eight red balls and six blue balls.  Bowl II is empty.  Four balls are 
selected at random, without replacement, and transferred from bowl I to bowl II.  One 
ball is then selected at random from bowl II.   
 
Calculate the conditional probability that two red balls and two blue balls were 
transferred from bowl I to bowl II, given that the ball selected from bowl II is blue.",0.21,0.24,0.43,0.49,0.57
187,"An actuary has done an analysis of all policies that cover two cars.  70% of the policies 
are of type A for both cars, and 30% of the policies are of type B for both cars.  The 
number of claims on different cars across all policies are mutually independent.  The 
distributions of the number of claims on a car are given in the following table. 
 
Number of 
Claims 
Type A 
Type B 
0 
40% 
25% 
1 
30% 
25% 
2 
20% 
25% 
3 
10% 
25% 
 
Four policies are selected at random. 
 
Calculate the probability that exactly one of the four policies has the same number of 
claims on both covered cars.",0.104,0.250,0.285,0.417,0.739
188,"A company sells two types of life insurance policies (P and Q) and one type of health 
insurance policy.  A survey of potential customers revealed the following: 
 
i) 
No survey participant wanted to purchase both life policies. 
ii) 
Twice as many survey participants wanted to purchase life policy P as life policy 
Q. 
iii) 
45% of survey participants wanted to purchase the health policy. 
iv) 
18% of survey participants wanted to purchase only the health policy. 
v) 
The event that a survey participant wanted to purchase the health policy was 
independent of the event that a survey participant wanted to purchase a life policy. 
 
Calculate the probability that a randomly selected survey participant wanted to purchase 
exactly one policy.",0.51,0.60,0.69,0.73,0.78
189,"A state is starting a lottery game.  To enter this lottery, a player uses a machine that 
randomly selects six distinct numbers from among the first 30 positive integers.  The 
lottery randomly selects six distinct numbers from the same 30 positive integers.  A 
winning entry must match the same set of six numbers that the lottery selected.  
 
The entry fee is 1, each winning entry receives a prize amount of 500,000, and all other 
entries receive no prize.   
 
Calculate the probability that the state will lose money, given that 800,000 entries are 
purchased.",0.33,0.39,0.61,0.67,0.74
190,"A life insurance company has found there is a 3% probability that a randomly selected 
application contains an error.  Assume applications are mutually independent in this 
respect. 
 
An auditor randomly selects 100 applications. 
 
Calculate the probability that 95% or less of the selected applications are error-free.",0.08,0.10,0.13,0.15,0.18
191,"Let A, B, and C be events such that P[A] = 0.2, P[B] = 0.1, and P[C] = 0.3.  The events 
A and B are independent, the events B and C are independent, and the events A and C are 
mutually exclusive. 
 
Calculate 
[A
B
C]
P
∪
∪
.",0.496,0.540,0.544,0.550,0.600
192,"The annual numbers of thefts a homeowners insurance policyholder experiences are 
analyzed over three years. 
 
Define the following events: 
 
i) 
A = the event that the policyholder experiences no thefts in the three years. 
ii) 
B = the event that the policyholder experiences at least one theft in the second 
year. 
iii) 
C = the event that the policyholder experiences exactly one theft in the first year. 
iv) 
D = the event that the policyholder experiences no thefts in the third year.  
v) 
E = the event that the policyholder experiences no thefts in the second year, and at 
least one theft in the third year. 
 
Determine which three events satisfy the condition that the probability of their union 
equals the sum of their probabilities.",Events,Events,Events,Events,Events
193,"Four letters to different insureds are prepared along with accompanying envelopes.  The 
letters are put into the envelopes randomly.  
 
Calculate the probability that at least one letter ends up in its accompanying envelope.",27/256,1/4,11/24,5/8,3/4
194,"A health insurance policy covers visits to a doctor’s office. Each visit costs 100.  The 
annual deductible on the policy is 350.  For a policy, the number of visits per year has the 
following probability distribution: 
 
Number of Visits 
0 
1 
2 
3 
4 
5 
6 
Probability 
0.60 
0.15 
0.10 
0.08 
0.04 
0.02 
0.01 
 
A policy is selected at random from those where costs exceed the deductible. 
 
Calculate the probability that this policyholder had exactly five office visits.",0.050,0.133,0.286,0.333,0.429
195,"A machine has two parts labelled A and B.  The probability that part A works for one 
year is 0.8 and the probability that part B works for one year is 0.6.  The probability that 
at least one part works for one year is 0.9. 
 
Calculate the probability that part B works for one year, given that part A works for one 
year.",1/2,3/5,5/8,3/4,5/6
196,"Six claims are to be randomly selected from a group of thirteen different claims, which 
includes two workers compensation claims, four homeowners claims and seven auto 
claims. 
 
Calculate the probability that the six claims selected will include one workers 
compensation claim, two homeowners claims and three auto claims.",0.025,0.107,0.153,0.245,0.643
197,"A drawer contains four pairs of socks, with each pair a different color.  One sock at a 
time is randomly drawn from the drawer until a matching pair is obtained.  
 
Calculate the probability that the maximum number of draws is required.",0.0006,0.0095,0.0417,0.1429,0.2286
198,"At a mortgage company, 60% of calls are answered by an attendant.  The remaining 40% 
of callers leave their phone numbers.  Of these 40%, 75% receive a return phone call the 
same day.  The remaining 25% receive a return call the next day. 
 
Of those who initially spoke to an attendant, 80% will apply for a mortgage.  Of those 
who received a return call the same day, 60% will apply.  Of those who received a return 
call the next day, 40% will apply. 
 
Calculate the probability that a person initially spoke to an attendant, given that he or she 
applied for a mortgage.",0.06,0.26,0.48,0.60,0.69
199,"An insurance company studies back injury claims from a manufacturing company.  The 
insurance company finds that 40% of workers do no lifting on the job, 50% do moderate 
lifting and 10% do heavy lifting. 
 
During a given year, the probability of filing a claim is 0.05 for a worker who does no 
lifting, 0.08 for a worker who does moderate lifting and 0.20 for a worker who does 
heavy lifting. 
 
A worker is chosen randomly from among those who have filed a back injury claim. 
 
Calculate the probability that the worker’s job involves moderate or heavy lifting.",0.75,0.81,0.85,0.86,0.89
200,"The number of traffic accidents occurring on any given day in Coralville is Poisson 
distributed with mean 5.  The probability that any such accident involves an uninsured 
driver is 0.25, independent of all other such accidents. 
 
Calculate the probability that on a given day in Coralville there are no traffic accidents 
that involve an uninsured driver.",0.007,0.010,0.124,0.237,0.287
201,"A group of 100 patients is tested, one patient at a time, for three risk factors for a certain 
disease until either all patients have been tested or a patient tests positive for more than 
one of these three risk factors.  For each risk factor, a patient tests positive with 
probability p, where 0 < p < 1.  The outcomes of the tests across all patients and all risk 
factors are mutually independent. 
 
Determine an expression for the probability that exactly n patients are tested, where n is a 
positive integer less than 100.","1
2
2
1","1
2
3
2
3
1","1
2
3
2
3
1","1
2
3
2
3
1","2
3
1
1
1
3"
202,"A representative of a market research firm contacts consumers by phone in order to 
conduct surveys.  The specific consumer contacted by each phone call is randomly 
determined.  The probability that a phone call produces a completed survey is 0.25. 
 
Calculate the probability that more than three phone calls are required to produce one 
completed survey.",0.32,0.42,0.44,0.56,0.58
203,"Four distinct integers are chosen randomly and without replacement from the first twelve 
positive integers.  X is the random variable representing the second smallest of the four 
selected integers, and p is the probability function of X. 
 
Determine p(x) for x = 2,3,…,10.","(
1)(11
)(12
)
495
x
x
x
−
−
−","(
1)(11
)(12
)
990
x
x
x
−
−
−","(
1)(
2)(12
)
990
x
x
x
−
−
−","(
1)(
2)(12
)
495
x
x
x
−
−
−","(10
)(11
)(12
)
495
x
x
x
−
−
−
"
204,"Losses due to burglary are exponentially distributed with mean 100.  
 
The probability that a loss is between 40 and 50 equals the probability that a loss is 
between 60 and r, with r > 60. 
 
Calculate r.",68.26,70.00,70.51,72.36,75.00
205,"The time until the next car accident for a particular driver is exponentially distributed 
with a mean of 200 days. 
 
Calculate the probability that the driver has no accidents in the next 365 days, but then 
has at least one accident in the 365-day period that follows this initial 365-day period.",0.026,0.135,0.161,0.704,0.839
206,"The annual profit of a life insurance company is normally distributed. 
 
The probability that the annual profit does not exceed 2000 is 0.7642.  The probability 
that the annual profit does not exceed 3000 is 0.9066.   
 
Calculate the probability that the annual profit does not exceed 1000.",0.1424,0.3022,0.5478,0.6218,0.7257
207,"Individuals purchase both collision and liability insurance on their automobiles.  The 
value of the insured’s automobile is V. Assume the loss L on an automobile claim is a 
random variable with cumulative distribution function 
 
(
)
3
3
,
0
4
( )
1
1
,
.
10
l V
V
l
l
V
V
F l
e
V
l
−
−



≤<






= 
−
≤

 
 
Calculate the probability that the loss on a randomly selected claim is greater than the 
value of the automobile.",0.00,0.10,0.25,0.75,0.90
208,"The lifetime of a machine part is exponentially distributed with a mean of five years. 
 
Calculate the mean lifetime of the part, given that it survives less than ten years.",0.865,1.157,2.568,2.970,3.435
209,"Let X be a random variable with density function 
 
2
2
,
0
( )
0,
otherwise.
x
e
x
f x
−

>
= 

 
Calculate [
0.5  
1.0]
P X
X
≤
≤
.",0.433,0.547,0.632,0.731,0.865
210,"Events E and F are independent. P[E] = 0.84 and P[F] = 0.65. 
 
Calculate the probability that exactly one of the two events occurs.",0.056,0.398,0.546,0.650,0.944
211,"A flood insurance company determines that N, the number of claims received in a month, 
is a random variable with 
1
2
[
]
, for 
0,1,2,
.
3n
P N
n
n
+
=
=
=
  The numbers of claims 
received in different months are mutually independent.  
 
Calculate the probability that more than three claims will be received during a 
consecutive two-month period, given that fewer than two claims were received in the first 
of the two months.",0.0062,0.0123,0.0139,0.0165,0.0185
212,"Patients in a study are tested for sleep apnea, one at a time, until a patient is found to have 
this disease.  Each patient independently has the same probability of having sleep apnea. 
Let r represent the probability that at least four patients are tested.  
 
Determine the probability that at least twelve patients are tested given that at least four 
patients are tested.","3
11
r","3
r","3
8
r","2
r","3
1
r"
213,"A factory tests 100 light bulbs for defects.  The probability that a bulb is defective is 0.02.  
The occurrences of defects among the light bulbs are mutually independent events. 
 
Calculate the probability that exactly two are defective given that the number of defective 
bulbs is two or fewer.",0.133,0.271,0.273,0.404,0.677
214,"A certain town experiences an average of 5 tornadoes in any four year period.  The 
number of years from now until the town experiences its next tornado as well as the 
number of years between tornados have identical exponential distributions and all such 
times are mutually independent 
 
Calculate the median number of years from now until the town experiences its next 
tornado.",0.55,0.73,0.80,0.87,1.25
215,"Losses under an insurance policy are exponentially distributed with mean 4.  The 
deductible is 1 for each loss. 
 
Calculate the median amount that the insurer pays a policyholder for a loss under the 
policy.",1.77,2.08,2.12,2.77,3.12
216,"A company has purchased a policy that will compensate for the loss of revenue due to 
severe weather events.  The policy pays 1000 for each severe weather event in a year 
after the first two such events in that year.  The number of severe weather events per year 
has a Poisson distribution with mean 1.  
 
Calculate the expected amount paid to this company in one year.",80,104,368,512,632
217,"A company provides each of its employees with a death benefit of 100.  The company 
purchases insurance that pays the cost of total death benefits in excess of 400 per year.  
The number of employees who will die during the year is a Poisson random variable with 
mean 2. 
 
Calculate the expected annual cost to the company of providing the death benefits, 
excluding the cost of the insurance.",171,189,192,200,208
218,"The number of burglaries occurring on Burlington Street during a one-year period is 
Poisson distributed with mean 1. 
 
Calculate the expected number of burglaries on Burlington Street in a one-year period, 
given that there are at least two burglaries.",0.63,2.39,2.54,3.00,3.78
219,"For a certain health insurance policy, losses are uniformly distributed on the interval 
[0, 450].  The policy has a deductible of d and the expected value of the unreimbursed 
portion of a loss is 56. 
 
Calculate d.",60,87,112,169,224
220,"A motorist just had an accident.  The accident is minor with probability 0.75 and is 
otherwise major. 
 
Let b be a positive constant.  If the accident is minor, then the loss amount follows a 
uniform distribution on the interval [0, b].  If the accident is major, then the loss amount 
follows a uniform distribution on the interval [b, 3b]. 
 
The median loss amount due to this accident is 672.  
 
Calculate the mean loss amount due to this accident.",392,512,672,882,1008
221,"An insurance policy will reimburse only one claim per year.  
 
For a random policyholder, there is a 20% probability of no loss in the next year, in 
which case the claim amount is 0.  If a loss occurs in the next year, the claim amount is 
normally distributed with mean 1000 and standard deviation 400.   
 
Calculate the median claim amount in the next year for a random policyholder.",663,790,873,994,1000
